Date,Close,High,Low,Open,Volume
08-01-16,39691.74609,39961.88048186536,38197.002479511684,38197.002479511684,1565500
11-01-16,39259.53125,39601.70147649082,39223.513331422015,39511.65668004587,685700
12-01-16,40340.0625,40556.16997767857,39259.525111607145,39619.70424107143,2144800
13-01-16,40268.02734,40610.19752243124,40159.973603113816,40556.17065211315,746300
14-01-16,40195.99609,40268.031929043456,38935.36897611447,39763.78108198925,1188000
15-01-16,40556.17188,41060.422679840136,40195.99272868561,40195.99272868561,1237700
18-01-16,39979.89063,40195.99814189189,39331.56807432432,39619.71143018018,840400
19-01-16,39619.71094,40195.997642045455,39475.63926136364,40195.997642045455,898400
20-01-16,39979.89063,40051.92646396396,39583.69351,39619.71143018018,912500
21-01-16,39907.85547,40159.98090943705,39655.73002806295,40159.98090943705,1217500
22-01-16,39799.80078,39889.845579397625,39565.68430606618,39619.71118495475,556600
25-01-16,39601.69922,40195.99484140518,39259.52901176671,40159.976924880626,1063700
26-01-16,40250.02344,40304.05031459731,39349.57548587808,39601.70091233221,674800
27-01-16,42357.07031,42357.07031,39925.860919563136,40250.02217195472,2091200
28-01-16,41780.78125,42501.13954741379,41060.42295,42357.067887931036,1531400
29-01-16,42032.91016,42501.14308858183,41060.426373714654,41924.85640263496,1434100
01-02-16,41798.78906,42032.90550274666,40556.17103,42032.90550274666,1485000
02-02-16,41708.74609,41834.80879783301,41582.68338966699,41798.79088238072,1331600
03-02-16,41960.875,41960.875,41276.53454935622,41708.74957081545,866600
04-02-16,43149.46484,43365.57234714107,41420.60481662145,41420.60481662145,2007300
05-02-16,43365.57031,43941.85696,43203.489692561256,43221.49865033223,1158200
09-02-16,43653.71484,43653.71484,42429.105681466586,43221.49984529703,549700
10-02-16,44302.03516,44410.088900533534,43167.470841272865,43167.470841272865,1315700
11-02-16,43941.85547,44248.00774,43329.550925332995,43977.87338306865,1227700
12-02-16,43725.75,43977.87541186161,43347.56188220758,43653.714168039536,1062300
15-02-16,44302.03516,44302.03516,43977.87392339939,44302.03516,960900
16-02-16,44302.03516,44482.12473005589,43905.83809387703,44121.94558,747300
17-02-16,45724.74609,45742.75505243206,44302.03835786727,44302.03835786727,1456400
18-02-16,45742.75391,46463.11223548229,45166.46724286417,45724.74494801919,1634600
19-02-16,46192.97656,46679.21842105263,44878.322648635476,45022.39431042885,1278000
22-02-16,47111.42969,47183.465512710245,46156.95500346426,46373.062479094995,861900
23-02-16,47615.68359,48426.08668063304,47111.43278413389,47111.43278413389,1330000
24-02-16,47183.46875,48245.99724475191,46553.15523616412,47759.75539122137,697200
25-02-16,44518.14844,47183.474476638345,44518.14844,47183.474476638345,1908100
26-02-16,45382.57422,45724.74442119296,44842.30548,45022.395058283735,1148100
29-02-16,45886.82422,46463.11086513933,45094.43007996468,45274.51965696135,1599500
01-03-16,45508.64063,45868.81981475069,45238.50623268698,45652.712300900275,1002300
02-03-16,46499.13281,47273.51806073295,45382.577338303636,45886.828197618124,1892100
03-03-16,47543.65234,47687.724017518936,46499.132708925186,46499.132708925186,999300
04-03-16,47687.71875,47831.79040785499,47129.441075811934,47831.79040785499,557600
07-03-16,46841.29688,48534.138822808534,46355.055038927334,47903.82533160323,683100
08-03-16,45490.625,46787.26989311164,45112.436906175775,46679.216152019006,1443400
10-03-16,47237.49609,47237.49609,44302.03598575105,45490.62719512486,1150500
11-03-16,47237.49609,47237.49609,47237.49609,47237.49609,0
14-03-16,47237.49609,47237.49609,47237.49609,47237.49609,0
15-03-16,47255.50391,47543.647222751526,46823.288931497715,47471.611393626146,455400
16-03-16,45382.57422,46625.192322358635,45328.54734468006,46463.11170014881,1684800
17-03-16,45022.39844,46373.07039,44626.20133,45742.756812499996,1653800
